Name	Label	Question	Type	Var
nordemp	Numero de orden		i	id
CIIU3	Actividad Económica		d	ciiu
TIPOLO	Tipologia		c	tipo
I1R1C1	Servicios o bienes nuevos únicamente para su empresa (Ya existían en el mercado nacional y/o en el internacional).	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.  SI=1 NO=2	i	sino
I1R1C2	Servicios o bienes nuevos únicamente para su empresa (Ya existían en el mercado nacional y/o en el internacional). Número total de Innovaciones en servicios o bienes nuevos únicamente para su empresa 2010 - 2011	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d	num
I1R2C1	Servicios o bienes nuevos en el mercado nacional (Ya existían en el mercado internacional).	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.  SI=1 NO=2	i	sino
I1R2C2	Servicios o bienes nuevos únicamente para su empresa (Ya existían en el mercado nacional y/o en el internacional). Número total de Innovaciones en servicios o bienes nuevos en el mercado nacional 2010 - 2011	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d	num
I1R3C1	Servicios o bienes nuevos en el mercado internacional	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.  SI=1 NO=2	i	sino
I1R3C2	Servicios o bienes nuevos en el mercado internacional Número total de Innovaciones en servicios o bienes nuevos en el mercado internacional 2010 - 2011	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d	num
I1R4C2	Total innovaciones de servicios o bienes nuevos Número total de innovaciones de servicios o bienes nuevos 2010 - 2011	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d	num
I1R5C1	Servicios o bienes significativamente mejorados únicamente para su empresa (Ya existían en el mercado nacional y/o en el internacional).	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.  SI=1 NO=2	i	sino
I1R5C2	Servicios o bienes significativamente mejorados únicamente para su empresa (Ya existían en el mercado nacional y/o en el internacional). Número total de Innovaciones en servicios o bienes significativamente mejorados únicamente para su empresa 2010 - 2011	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d	num
