Name	Label	Question	Type
Periodo	Periodo de realización de la encuesta		c
nordemp	Numero de orden		i
CIIU4	Actividad Económica		d
TIPOLOGIA	Tipologia		c
I1R1C1N	Servicios o bienes nuevos únicamente para su empresa (Ya existían en el mercado nacional y/o en el internacional).	Indique si durante el período 2014 - 2015 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.  SI=1 NO=2	i
I1R1C2N	Servicios o bienes nuevos únicamente para su empresa (Ya existían en el mercado nacional y/o en el internacional). Número total de Innovaciones en servicios o bienes nuevos únicamente para su empresa 2014 - 2015		d
I1R2C1N	Servicios o bienes nuevos en el mercado nacional (Ya existían en el mercado internacional).	Indique si durante el período 2014 - 2015 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.  SI=1 NO=2	i
I1R2C2N	Servicios o bienes nuevos en el mercado nacional (Ya existían en el mercado internacional). Número total de Innovaciones en servicios o bienes nuevos en el mercado nacional 2014 - 2015	Indique si durante el período 2014 - 2015 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d
I1R3C1N	Servicios o bienes nuevos en el mercado internacional	Indique si durante el período 2014 - 2015 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.  SI=1 NO=2	i
I1R3C2N	Servicios o bienes nuevos en el mercado internacional Número total de Innovaciones en servicios o bienes nuevos en el mercado internacional en 2014 - 2015	Indique si durante el período 2014 - 2015 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d
I1R4C2N	Número total de innovaciones de servicios o bienes nuevos 2014 - 2015	Indique si durante el período 2014 - 2015 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d
I1R1C1M	Servicios o bienes significativamente mejorados únicamente para su empresa (Ya existían en el mercado nacional y/o en el internacional).	Indique si durante el período 2014 - 2015 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número. SI=1 NO=2	i
I1R1C2M	Servicios o bienes significativamente mejorados únicamente para su empresa (Ya existían en el mercado nacional y/o en el internacional). Número total de Innovaciones en servicios o bienes significativamente mejorados únicamente para su empresa 2014 - 2015	Indique si durante el período 2014 - 2015 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d
I1R2C1M	Servicios o bienes significativamente mejorados en el mercado nacional (Ya existían en el mercado internacional). Si,No	Indique si durante el período 2014 - 2015 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número. SI=1 NO=2	i
I1R2C2M	Servicios o bienes significativamente mejorados en el mercado nacional (Ya existían en el mercado internacional). Número total de Innovaciones en servicios o bienes significativamente mejorados en el mercado nacional 2014 - 2015	Indique si durante el período 2014 - 2015 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d
I1R3C1M	Servicios o bienes significativamente mejorados en el mercado internacional	Indique si durante el período 2014 - 2015 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número. SI=1 NO=2	i
I1R3C2M	Servicios o bienes significativamente mejorados en el mercado internacional Número total de Innovaciones en servicios o bienes significativamente mejorados en el mercado internacional en 2014 - 2015	Indique si durante el período 2014 - 2015 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d
I1R4C2M	Total innovaciones de servicios o bienes significativamente mejorados Número total de innovaciones de servicios o bienes significativamente mejorados 2014 - 2015	Indique si durante el período 2014 - 2015 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d
I1R4C1	Introdujo nuevos o significativamente mejorados métodos de producción, distribución, entrega, o sistemas logísticos en su empresa.	Indique si durante el período 2014 - 2015 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.  SI=1 NO=2	i
I1R4C2	Introdujo nuevos o significativamente mejorados métodos de producción, distribución, entrega, o sistemas logísticos en su empresa. Número total de Innovaciones en servicios o bienes nuevos únicamente para su empresa 2014 - 2015	Indique si durante el período 2014 - 2015 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d
I1R5C1	Introdujo nuevos métodos organizativos implementados en el funcionamiento interno de la empresa, en el sistema de gestión del conocimiento, en la organización del lugar de trabajo, o en la gestión de las relaciones externas de la empresa.	Indique si durante el período 2014 - 2015 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.  SI=1 NO=2	i
I1R5C2	Introdujo nuevos métodos organizativos implementados en el funcionamiento interno de la empresa, en el sistema de gestión del conocimiento, en la organización del lugar de trabajo, o en la gestión de las relaciones externas de la empresa. Número total de Innovaciones en servicios o bienes nuevos únicamente para su empresa 2014 - 2015	Indique si durante el período 2014 - 2015 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d
I1R6C1	Introdujo nuevas técnicas de comercialización en su empresa (canales para promoción y venta, o modificaciones significativas en el empaque o diseño del producto), implementadas en la empresa con el objetivo de ampliar o mantener su mercado. (Se excluyen los cambios que afectan las funcionalidades del producto)	Indique si durante el período 2014 - 2015 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.  SI=1 NO=2	i
I1R6C2	Introdujo nuevas técnicas de comercialización en su empresa (canales para promoción y venta, o modificaciones significativas en el empaque o diseño del producto), implementadas en la empresa con el objetivo de ampliar o mantener su mercado. (Se excluyen los cambios que afectan las funcionalidades del producto) Número total de Innovaciones en servicios o bienes nuevos únicamente para su empresa 2014 - 2015		d
