Original,Nuevo
,nordemp
,CIIU3
TIPOLO,TIPOLOGIA
I1R1C1,I1R1C1N
I1R1C2,I1R1C2N
I1R2C1,I1R2C1N
I1R2C2,I1R2C2N
I1R3C1,I1R3C1N
I1R3C2,I1R3C2N
I1R4C2,I1R4C2N
I1R5C1,I1R1C1M
I1R5C2,I1R1C2M
I1R6C1,I1R2C1M
I1R6C2,I1R2C2M
I1R7C1,I1R3C1M
I1R7C2,I1R3C2M
I1R8C2,I1R4C2M
I1R9C1,I1R4C1
I1R9C2,I1R4C2
I1R10C1,I1R5C1
I1R10C2,I1R5C2
I1R11C1,I1R6C1
I1R11C2,I1R6C2
,I2R1C1
,I2R2C1
,I2R3C1
,I2R4C1
,I2R5C1
,I2R6C1
I2R9C1,I2R8C1
I2R7C1,I2R9C1
I2R8C1,I2R7C1
,I2R10C1
,I2R11C1
,I3R1C1
,I3R1C2
,I4R1C1
,I4R1C2
,I4R2C1
,I4R2C2
,I4R3C1
,I4R3C2
,I4R4C1
,I4R4C2
,I4R5C1
,I4R5C2
,I5R1C1
,I6R1C1
,I7R1C1
I7R1C1,I8R1C1
I7R2C1,I8R2C1
I7R3C1,I8R3C1
I7R4C1,I8R4C1
I7R5C1,I8R5C1
I7R6C1,I8R6C1
,I7R7C1
I7R8C1,I8R7C1
I7R9C1,I8R8C1
I7R10C1,I8R9C1
I7R11C1,I8R10C1
I7R12C1,I8R11C1
I7R13C1,I8R12C1
I7R14C1,I8R13C1
I7R15C1,I8R14C1
,II1R1C1
,II1R1C2
,II1R2C1
,II1R2C2
,II1R3C1
,II1R3C2
,II1R4C1
,II1R4C2
,II1R5C1
,II1R5C2
,II1R6C1
,II1R6C2
,II1R7C1
,II1R7C2
,II1R8C1
,II1R8C2
,II1R9C1
,II1R9C2
,II1R10C1
,II1R10C2
,II2R1C1
,II3R1C1
,II3R1C2
,III1R1C1
,III1R1C2
,III1R2C1
,III1R2C2
,III1R3C1
,III1R3C2
,III1R4C1
,III1R4C2
,III1R4C3
,III1R4C4
,III1R5C1
,III1R5C2
,III1R5C3
,III1R5C4
,III1R6C1
,III1R6C2
,III1R6C3
,III1R6C4
,III1R7C1
,III1R7C2
,III1R7C3
,III1R7C4
,III1R8C1
,III1R8C2
III2R1C1,III2R1C1PIII
III2R1C2,III2R1C2PIII
,III2R1C1
,III2R1C2
,III2R2C1
,III2R2C2
III2R3C1,III2R3C1PIII
III2R3C2,III2R3C2PIII
,III2R3C1
,III2R3C2
III2R4C1,III2R4C1PIII
III2R4C2,III2R4C2PIII
,III2R4C1
,III2R4C2
III2R5C1,III2R5C1PIII
III2R5C2,III2R5C2PIII
,III2R5C1
,III2R5C2
,III2R6C1
,III2R6C2
,III2R7C1
,III2R7C2
III2R8C1,III2R8C1PIII
III2R8C2,III2R8C2PIII
,III2R8C1
,III2R8C2
,III2R9C1
,III2R9C2
,III3R1C1
III3R1C1,III4R1C1
III3R2C1,III4R2C1
III3R3C1,III4R3C1
III3R4C1,III4R4C1
III3R5C1,III4R5C1
III3R6C1,III4R6C1
III4R1C1,III4R1C1PIII
,III5R1C1
III5R1C1,III6R1C1
III5R1C2,III6R1C2
III5R2C1,III6R2C1
III5R2C2,III6R2C2
III5R3C1,III6R3C1
III5R3C2,III6R3C2
III5R4C1,III6R4C1
III5R4C2,III6R4C2
III5R5C1,III6R5C1
III5R5C2,III6R5C2
III5R6C1,III6R6C1
III5R6C2,III6R6C2
III5R7C1,III6R7C1
III5R7C2,III6R7C2
,IV1R1C1
,IV1R1C2
,IV1R1C3
,IV1R1C4
,IV1R2C1
,IV1R2C2
,IV1R2C3
,IV1R2C4
,IV1R3C1
,IV1R3C2
,IV1R3C3
,IV1R3C4
,IV1R4C1
,IV1R4C2
,IV1R4C3
,IV1R4C4
,IV1R5C1
,IV1R5C2
,IV1R5C3
,IV1R5C4
,IV1R6C1
,IV1R6C2
,IV1R6C3
,IV1R6C4
,IV1R7C1
,IV1R7C2
,IV1R7C3
,IV1R7C4
,IV1R8C1
,IV1R8C2
,IV1R8C3
,IV1R8C4
,IV1R9C1
,IV1R9C2
,IV1R9C3
,IV1R9C4
,IV1R10C1
,IV1R10C2
,IV1R10C3
,IV1R10C4
,IV1R11C1
,IV1R11C2
,IV1R11C3
,IV1R11C4
,IV2R1C1
,IV2R1C2
IV3R1C1,IV3R1C1PIII
IV3R1C2,IV3R1C2PIII
IV3R1C3,IV3R1C3PIII
IV3R1C4,IV3R1C4PIII
,IV2R1C5PII
IV3R1C5,IV3R1C5PIII
IV3R1C6,IV3R1C6PIII
IV3R1C7,IV3R1C7PIII
IV3R2C1,IV3R2C1PIII
IV3R2C2,IV3R2C2PIII
IV3R2C3,IV3R2C3PIII
IV3R2C4,IV3R2C4PIII
,IV2R2C5PII
IV3R2C5,IV3R2C5PIII
IV3R2C6,IV3R2C6PIII
IV3R2C7,IV3R2C7PIII
IV3R3C1,IV3R3C1PIII
IV3R3C2,IV3R3C2PIII
IV3R3C3,IV3R3C3PIII
IV3R3C4,IV3R3C4PIII
,IV2R3C5PII
IV3R3C5,IV3R3C5PIII
IV3R3C6,IV3R3C6PIII
IV3R3C7,IV3R3C7PIII
IV3R4C1,IV3R4C1PIII
IV3R4C2,IV3R4C2PIII
IV3R4C3,IV3R4C3PIII
IV3R4C4,IV3R4C4PIII
,IV2R4C5PII
IV3R4C5,IV3R4C5PIII
IV3R4C6,IV3R4C6PIII
IV3R4C7,IV3R4C7PIII
IV3R5C1,IV3R5C1PIII
IV3R5C2,IV3R5C2PIII
IV3R5C3,IV3R5C3PIII
IV3R5C4,IV3R5C4PIII
,IV2R5C5PII
IV3R5C5,IV3R5C5PIII
IV3R5C6,IV3R5C6PIII
IV3R5C7,IV3R5C7PIII
IV3R6C1,IV3R6C1PIII
IV3R6C2,IV3R6C2PIII
IV3R6C3,IV3R6C3PIII
IV3R6C4,IV3R6C4PIII
,IV2R6C5PII
IV3R6C5,IV3R6C5PIII
IV3R6C6,IV3R6C6PIII
IV3R6C7,IV3R6C7PIII
IV3R7C1,IV3R7C1PIII
IV3R7C2,IV3R7C2PIII
IV3R7C3,IV3R7C3PIII
IV3R7C4,IV3R7C4PIII
,IV2R7C5PII
IV3R7C5,IV3R7C5PIII
IV3R7C6,IV3R7C6PIII
